0.0,203,118
0.033,115,72
0.066,99,95
0.099,96,90
0.132,83,87
0.165,90,82
0.198,113,86
0.231,82,86
0.264,73,87
0.29700000000000004,82,95
0.33000000000000007,70,100
0.3630000000000001,84,98
0.39600000000000013,79,92
0.42900000000000016,83,104
0.4620000000000002,83,111
0.4950000000000002,95,95
0.5280000000000002,109,145
0.5610000000000003,109,164
0.5940000000000003,127,162
0.6270000000000003,107,167
0.6600000000000004,114,227
0.6930000000000004,131,383
0.7260000000000004,224,1629
0.7590000000000005,154,166
0.7920000000000005,119,194
0.8250000000000005,118,167
0.8580000000000005,90,140
0.8910000000000006,89,145
0.9240000000000006,91,152
0.9570000000000006,132,159
0.9900000000000007,100,168
